% Model,BioZ_model_sensitivity_arm_4.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 24 2021, 16:14"
% Table,Table 1 - Selectivity
% freq (Hz),"delta=0.025, d=0.025, wf=0.004, wm=0.008, Skin (1)","delta=0.025, d=0.025, wf=0.004, wm=0.008, Fat (1)","delta=0.025, d=0.025, wf=0.004, wm=0.008, Muscle (1)","delta=0.025, d=0.025, wf=0.004, wm=0.008, Bone (1)","delta=0.025, d=0.025, wf=0.004, wm=0.008, Marrow (1)","delta=0.04, d=0.04, wf=0.004, wm=0.008, Skin (1)","delta=0.04, d=0.04, wf=0.004, wm=0.008, Fat (1)","delta=0.04, d=0.04, wf=0.004, wm=0.008, Muscle (1)","delta=0.04, d=0.04, wf=0.004, wm=0.008, Bone (1)","delta=0.04, d=0.04, wf=0.004, wm=0.008, Marrow (1)"
1,0.25684556935378056,15.712538519893586,82.42081098169783,1.5033366133786987,0.10646831567610135,0.021639604533671194,1.655912004674416,96.85015168921053,1.3824120977515235,0.08988460382984065
5,-0.1753216764876536,15.663729467284476,82.88842896440461,1.4998389340372391,0.1233243107613304,-0.010167559099042229,1.6804799746316865,96.85153736320423,1.3744889677269245,0.10366125353621146
10,-0.6335857838888809,15.147587478517295,83.84521201676287,1.4893763706501346,0.15140991795857012,-0.046390507630764834,1.8194199984217987,96.74813920593154,1.3526506471088204,0.12618065616860946
25,-0.9730172050789904,15.075791357211028,84.33123637990197,1.3787939163048,0.18719555166118412,-0.02998271717657017,2.537017136108,96.08927556177818,1.2475322643009283,0.15615775498947956
50,-1.380937297994212,17.515385526567854,82.51118675096765,1.1731847854143087,0.181180235044402,0.13337998110822177,2.926964943248915,95.6880184159209,1.0946872830381424,0.15694937668383746
75,-2.085929741918915,20.087877906506627,80.7762871810363,1.0519215845314644,0.1698430698445188,0.2744281598092069,3.0212989613715298,95.53985156474118,1.0119010683008007,0.15252024577728726
100,-2.8445252642601466,22.18312860347816,79.51419245701157,0.9845086386233194,0.1626955651470938,0.37889981207450607,3.1304435786194205,95.37242068566664,0.9682682617292675,0.14996766191018188
250,-5.442098145844828,27.57354375435291,76.85572948268644,0.8619162565840759,0.150908652221385,0.7469706972999477,3.896514658105342,94.32082231796642,0.888558666687942,0.14713365994037284
500,-6.14556531026572,29.10739774088169,76.08116802022103,0.8093912849609362,0.14760826420205425,1.1549432565237798,4.661146362362744,93.19141979728504,0.8459398580544595,0.1465507257739714
750,-5.945666336217038,29.15789282499434,75.85631513739547,0.7849436552183942,0.1465147186088284,1.466879029019918,5.092834252232789,92.47109564289076,0.8229559896362177,0.14623508622030093
976.563,-5.627683837563307,28.952605301056867,75.757444135589,0.7714845467257375,0.1461498541916919,1.699166862015397,5.364017655086407,91.98133330268398,0.8093495960597544,0.1461325841544618
1953.13,-4.351698738105814,27.921099238579973,75.54059619511163,0.7436272123281652,0.1463760920860311,2.4017283608292352,6.066787155783854,90.6061596507911,0.7788947285322598,0.14643010406357598
3906.25,-2.827225272114693,26.70016959042054,75.25814804824762,0.721260445530485,0.14764718791605977,3.1643716979332606,6.82059152522114,89.11462418304144,0.7530510331099162,0.14736156069423928
7812.5,-1.4246493223828736,25.66572808126503,74.91001702724859,0.6996515109535743,0.14925270291566195,3.837840232514475,7.722822902128435,87.56237721119412,0.7283912938703391,0.14856836029261436
15625,-0.44351571128682576,25.07143541710703,74.54493034388904,0.6764581813119842,0.15069176897878797,4.239398779260209,8.938927241757574,85.96912393158485,0.7028481037993146,0.1497019435980364
31250,0.4308896977281313,24.902386929416785,73.86857972230248,0.6472813522479277,0.15086229830465878,4.516097038017281,10.759721434911546,83.90366287143506,0.671036355517894,0.14948230011824007
62500,4.139408354317828,24.498471845495885,70.62268349531116,0.5943695664844687,0.14506673839066486,6.695666381440814,13.510255604317138,79.03791256304457,0.6133154206405452,0.14285003055693046
125000,16.320268905810764,23.574646803145825,59.49383189769532,0.487188660746068,0.12406373260204265,16.384468035208688,17.023012576319097,65.97502181701712,0.4969835943829831,0.12051397707208637
250000,33.960241207648046,23.63596686235252,41.96370711689856,0.3487795838641797,0.09130522923669086,33.26625046546517,20.442051949385753,45.86016563920885,0.34548258847235075,0.0860493574678799
500000,45.69013752206018,25.886705879274807,28.113267210734605,0.24544894738621537,0.06444044054416682,45.630829174801285,23.965314829755705,30.109053789574844,0.23589676638598403,0.05890543948218637
1000000,50.989153030465125,28.786014283664098,19.989507384121936,0.18732448172351557,0.04800082002532466,51.386912548105975,27.249913122659283,21.14229124116325,0.17763607273304577,0.04324701533843838
