% Model,BioZ_model_sensitivity_leg_4.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 24 2021, 16:17"
% Table,Table 1 - Zparam
% freq (Hz),"delta=0.025, d=0.025, wf=0.004, wm=0.05, Skin (1)","delta=0.025, d=0.025, wf=0.004, wm=0.05, Fat (1)","delta=0.025, d=0.025, wf=0.004, wm=0.05, Muscle (1)","delta=0.025, d=0.025, wf=0.004, wm=0.05, Bone (1)","delta=0.025, d=0.025, wf=0.004, wm=0.05, Marrow (1)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Skin (1)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Fat (1)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Muscle (1)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Bone (1)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Marrow (1)"
1,-0.20882791541706341,31.29097900665669,68.87644197850611,0.039061074097941975,0.0023458561563324955,-0.23843679135309748,1.3961940322969866,98.6748723618836,0.157882101268018,0.009488295904491703
5,-0.8653441054619345,31.247076118534213,69.57638923000994,0.03916298010626808,0.002715776811527257,-0.16800234477061496,1.4459531066200666,98.5544773997833,0.15671676208095922,0.01085507628630162
10,-1.6604824125791853,30.231340461797252,71.38628451765804,0.03949253039576842,0.0033649027281170882,-0.12786315297324577,1.5531525904197765,98.40756327116625,0.15405715798335542,0.013090133403871716
25,-2.2475239633600266,29.144645458324064,73.06151531154964,0.037164918283854806,0.004198275202462065,-0.033282034489015705,2.028739500215942,97.84711324679226,0.14150319660416097,0.015926090876673325
50,-3.1790115889786854,33.14758463518676,69.9972399976079,0.030305677650284593,0.003881278533732345,0.13190120389453436,2.5339898180700584,97.19774529147652,0.1209426322518519,0.015421054307053027
75,-4.72499197931189,37.72605074110306,66.96962175506255,0.02586100113915335,0.003458482007135919,0.218156938022973,2.9610897826112783,96.69818693010683,0.10816212147640353,0.014404227782528069
100,-6.341012101246927,41.38516664504274,64.92930216815539,0.02334888681349544,0.003194401235286973,0.22074137575498542,3.4109809863994522,96.25383003153101,0.10071834863601349,0.013729257678542883
250,-12.207329266736648,50.6504615924059,61.534910655652666,0.01917852175918315,0.002778496918884758,-0.3731560327886508,5.64576318910676,94.62851558253836,0.08637900804605608,0.012498253097492282
500,-14.806730439366966,53.32187909674637,61.4642835044142,0.017873249819930152,0.002694588386453951,-1.105635152279171,7.460957505836927,93.55305467789262,0.079621562988491,0.01200140556110801
750,-15.256895784687842,53.34477541522293,61.892067054480336,0.017374704608129714,0.0026786103764456564,-1.3943551355751622,8.295927743229917,93.01038927778433,0.07627704251903794,0.011761072041891819
976.563,-15.186038714259391,52.88914478148826,62.27707029324318,0.017143017913180913,0.002680621614760357,-1.487285329116112,8.725182551179296,92.6760702246888,0.07439591605888839,0.011636637189124398
1953.13,-14.05972118207359,50.578914683051586,63.461240453737396,0.016835323617153584,0.0027307216674475,-1.3840073549548444,9.502579045743012,91.79941835438784,0.070558069893411,0.011451884930604696
3906.25,-12.239118333309545,47.545300698616096,64.67418215985472,0.016806245780328005,0.002829229058383666,-0.9100497083688633,9.975750318609931,90.85510944456007,0.06776976625913433,0.01142017893973209
7812.5,-10.292894994689341,44.380903588401765,65.89210501793532,0.016925389031644793,0.002960999320620251,-0.23303409181737045,10.332691019123036,89.82348982983444,0.06539430405453402,0.011458938805363523
15625,-8.634158909103892,41.3303259879669,67.2835106030873,0.017193486298401135,0.003128831751271138,0.437652553450707,10.749440010493643,88.73826487408489,0.06312378774159046,0.011518774229176807
31250,-7.298225414191505,38.10987125176602,69.16720471751584,0.017782263379434768,0.0033671815301972398,0.8560254726946963,11.403480366397908,87.66797811532825,0.06092848277712482,0.011587562802020578
62500,-4.625224970093461,33.44400336348823,71.15851582249867,0.018968295264999376,0.0037374888415597617,1.3717012614476929,12.240306050602623,86.31733732752734,0.05897388921367769,0.011681471208670687
125000,3.332183656800725,26.941581885943958,69.70161746795752,0.02043244232644543,0.004184546971373628,4.3346834090270905,13.08083901567323,82.51600891053643,0.0567910125175113,0.011677652245760584
250000,16.400608831637662,22.350470026050058,61.22357556698738,0.020928565749952385,0.0044170095749518695,12.146572357122993,14.576353400109248,73.21308593425863,0.05281784029722823,0.011170468211908372
500000,27.85241871654121,22.271596573449138,49.8515491333527,0.02014201686250139,0.004293559794454291,21.837688506785735,17.395373842305528,60.70962719972177,0.04723026772996334,0.010080183456991146
1000000,35.08852118509637,24.49150391990225,40.39685415290585,0.01913906285830729,0.003981679237213663,29.43911333745614,20.746297609222022,49.7631388467713,0.04258146850872597,0.0088687380418047
