% Model,BioZ_model_sensitivity_arm_4.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 22 2021, 19:20"
% Table,Table 7 - Transimpedance
% freq (Hz),"delta=0.025, d=0.025, wf=0.004, wm=0.01, Impedance (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.01, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.01, Phase (deg)","delta=0.025, d=0.025, wf=0.006, wm=0.01, Impedance (Ω)","delta=0.025, d=0.025, wf=0.006, wm=0.01, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.006, wm=0.01, Phase (deg)","delta=0.025, d=0.025, wf=0.008, wm=0.01, Impedance (Ω)","delta=0.025, d=0.025, wf=0.008, wm=0.01, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.008, wm=0.01, Phase (deg)","delta=0.025, d=0.025, wf=0.01, wm=0.01, Impedance (Ω)","delta=0.025, d=0.025, wf=0.01, wm=0.01, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.01, wm=0.01, Phase (deg)","delta=0.025, d=0.025, wf=0.012, wm=0.01, Impedance (Ω)","delta=0.025, d=0.025, wf=0.012, wm=0.01, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.012, wm=0.01, Phase (deg)","delta=0.04, d=0.04, wf=0.004, wm=0.01, Impedance (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.01, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.01, Phase (deg)","delta=0.04, d=0.04, wf=0.006, wm=0.01, Impedance (Ω)","delta=0.04, d=0.04, wf=0.006, wm=0.01, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.006, wm=0.01, Phase (deg)","delta=0.04, d=0.04, wf=0.008, wm=0.01, Impedance (Ω)","delta=0.04, d=0.04, wf=0.008, wm=0.01, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.008, wm=0.01, Phase (deg)","delta=0.04, d=0.04, wf=0.01, wm=0.01, Impedance (Ω)","delta=0.04, d=0.04, wf=0.01, wm=0.01, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.01, wm=0.01, Phase (deg)","delta=0.04, d=0.04, wf=0.012, wm=0.01, Impedance (Ω)","delta=0.04, d=0.04, wf=0.012, wm=0.01, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.012, wm=0.01, Phase (deg)"
1,99.71496384614147-1.2976372358971275i,99.72340686736132,0.74557456071748,129.85870881332085-2.443429961334914i,129.88169464800959,1.0779539335456219,185.4703431245871-5.1394057435391005i,185.54153623959456,1.5872668337913307,256.3883891676087-8.901300610043108i,256.54286045904985,1.9883981327961697,329.38410440739244-13.093777196365409i,329.6442555809642,2.276440663401076,106.49317591986619-0.6147569693275727i,106.49495031986683,0.33074972372475336,107.58305101655424-0.6541679614165332i,107.58503986034609,0.3483876038306402,112.52962774340995-0.8425326771102846i,112.53278180771332,0.42897737648587814,124.40906842635013-1.3905920800752938i,124.41683990941675,0.6404013816273981,143.18154342798516-2.345601462846389i,143.20075497232028,0.9385360751974945
5,97.6595706762746-4.955891929101199i,97.78523717559416,2.905074427105896,125.58666574303061-9.842776145320386i,125.97178594708653,4.48136011052945,175.76180351688527-20.701555794337764i,176.97673855005425,6.717455962747761,238.98580221482553-35.78796533332206i,241.65055787844307,8.5167191708394,303.30147684784606-52.08547096711118i,307.74125843628815,9.744265023797563,105.99057088373229-3.0143491990165785i,106.03342594367632,1.6290406261042398,107.02195322653279-3.213400137843564i,107.07018451869813,1.7198244051585327,111.6230948313605-4.042456808034331i,111.69627011129657,2.074073791841476,122.42576697003096-6.3092350624501705i,122.58823298046829,2.950138949965388,139.2787242271006-10.16716665844433i,139.64932617162648,4.175112151657109
10,94.6922948822612-7.412435827078298i,94.98197152596731,4.4759396086581615,118.63428411073983-13.614274927531369i,119.41290486488529,6.546531327425505,160.21523573144805-26.94887431047391i,162.46588437910646,9.54801359344517,211.56044539471623-45.293963628239i,216.3547207637655,12.084291164268393,263.1680874477606-64.80168746924028i,271.0289669938866,13.833136312185925,104.56386509910226-5.711029536090791i,104.71971038360141,3.126253003769903,105.41845870995894-6.008192946319468i,105.58953461050731,3.2619722649816363,109.33345386362635-7.106110116234049i,109.56414073379005,3.7186994536489273,118.31614538666327-9.957379124127328i,118.73440806345751,4.810624547256499,132.1072952670511-14.71530539356172i,132.9243306381552,6.355921476705318
25,86.99201118256315-10.050382852146868i,87.57065835690582,6.590292261438612,105.68037516597542-13.43629569542827i,106.531102206052,7.245760506518161,136.55949548786157-21.630744323891122i,138.2620154196547,9.000755179479826,173.45751960674534-33.312768942676485i,176.62743751397343,10.87136862561052,209.9338743558328-45.75236330612097i,214.8616074363819,12.29462665872961,97.39195630108588-10.889428452181164i,97.99884083073532,6.379763405036494,97.91106663955725-10.962482835748233i,98.52285521857299,6.388439816357373,100.82172609042027-11.486745716945734i,101.47396601600582,6.499753732414517,107.41431230757735-13.109088054974563i,108.21128720305862,6.958098587532569,117.34855827654246-15.96034623781452i,118.42895246355091,7.745162277424797
50,77.20236229812872-9.55306366426521i,77.79116768493085,7.053955024559679,94.51064218468673-9.806731560238404i,95.01806917663852,5.923996244248768,121.86897567079723-13.05088120183791i,122.56578939979073,6.112478099996859,153.6434881818859-18.758731227135286i,154.7844031482152,6.960938500386809,184.70755651867512-25.125664154271362i,186.40863830384254,7.746366292555153,85.08568888778973-12.420398695365293i,85.98744534675733,8.305102742345532,85.65667043038411-12.101575791923096i,86.50730215344309,8.041527424225961,88.44371417322691-11.844557129807072i,89.23331278371728,7.627778540467742,94.44196379362984-12.093725295853801i,95.21314361331036,7.297272655797407,103.25515548440308-13.014257000409998i,104.07208088330403,7.183667245669624
75,71.35373477069152-7.516657803411363i,71.7485582451646,6.01356321899169,88.4159896865931-6.4769253322447184i,88.65290629200607,4.189726340560793,114.46706623340287-7.873303548491094i,114.73751854057556,3.934735953343322,144.06865250252304-11.433854338305537i,144.52165809636398,4.537707021244008,172.77479747383404-15.663531309808604i,173.48336189738117,5.180197462016975,77.19370521198289-11.021362479717936i,77.97652566807429,8.12551269908449,77.89871122064505-10.519710515014594i,78.60581097576159,7.690892554774968,80.7902452564922-9.917110621696338i,81.39663882303202,6.998124675352203,86.700880867651-9.614184429083252i,87.23230643209565,6.327627428177401,95.18785036353074-9.798353463469539i,95.69082812592336,5.877156840440929
100,68.07409392953195-5.761366676451871i,68.31746197208493,4.8376289158501455,84.98065701274209-4.135316232132027i,85.08121359417157,2.785921184046307,110.07285254821909-4.720628797047539i,110.17403144272019,2.4557051247999535,138.08203450866495-7.31718545849435i,138.2757732109502,3.03335679215249,165.05553365100968-10.584230966618634i,165.3945438458425,3.6690837877048823,72.61434606264083-9.49621562687389i,73.23265231668894,7.4506318745238485,73.41959529724409-8.895620200957637i,73.95653475096566,6.9083624908362875,76.39322170506966-8.12120409803174i,76.8236830572566,6.068203652398319,82.2410911032839-7.561723827457172i,82.58799387986959,5.253336189540142,90.48567645535695-7.4113192041404545i,90.7886848452449,4.6824155909781675
250,62.13636606059299-1.9626749292001477i,62.16735542142454,1.8091758650377687,77.73470610331515-0.0021793560590595007i,77.73470613386516,0.001606334036198694,98.79359430198338+0.14250140701187775i,98.79369707504564,-0.08264426040717857,120.96653415928131-1.222302962509275i,120.97270936471882,0.5789239000098341,141.7790601289248-3.1311735497729387i,141.8136317102135,1.2651647587072297,64.2740281986321-5.606806555137155i,64.51811358545199,4.985453885074242,65.30423335015166-4.858389738656115i,65.48470694981951,4.254752661092062,68.32580823146054-3.911868529081403i,68.43770003346941,3.2767872847026207,73.63670000584852-3.1129774956571055i,73.70247089914828,2.420726799564566,80.69996679202768-2.616713419178268i,80.74237938872298,1.857177024866339
500,58.78241006777944-1.1251877764771052i,58.79317801334532,1.096597411676226,72.45242009336312+0.3656875405686151i,72.45334295091217,-0.28918529912853286,89.85191162830984+0.3296037892396271i,89.85251616910614,-0.21017717915641476,107.5215597672734-0.8249218561322778i,107.5247241840502,0.43957336146171944,123.81211169685844-2.3685752254205i,123.8347655201633,1.0959574985468792,60.46796556264485-4.2172628175067075i,60.61485102643682,3.9895623640055553,61.50139686949319-3.504931256196869i,61.60118797563544,3.2617273126356707,64.25895830653144-2.668942314485321i,64.31436057148198,2.378365482075887,68.82177480586711-1.9895201531944622i,68.85052561796061,1.6558621242141183,74.68292125982543-1.5705912900048133i,74.69943430108106,1.204759910349365
750,56.69864423673221-0.893913008254458i,56.705690532342985,0.9032526310835592,69.06431168309336+0.32258781198834185i,69.06506505575675,-0.2676170266333128,84.3784757152107+0.1756208990009327i,84.37865847904058,-0.1192522345510579,99.66513281854532-0.9013262219195894i,99.66920832783111,0.5181428973655501,113.62949226976934-2.291738179705135i,113.65260039862656,1.1554141737719241,58.44986807318537-3.63197948832385i,58.56260199800193,3.5556946210291227,59.41293610562411-2.966274830214388i,59.486937751571446,2.85819954339592,61.922806104201754-2.2169229392056877i,61.962477864728285,2.050393200754651,65.98024052953065-1.6254237711473252i,66.00025865684565,1.4111965709992782,71.11437027657098-1.271605871810607i,71.12573824802429,1.0244045727403757
