% Model,BioZ_model_sensitivity_leg_4.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 23 2021, 11:31"
% Table,Table 2 - Transimpedance
% freq (Hz),"delta=0.025, d=0.025, wf=0.004, wm=0.05, Impedance (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.05, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.05, Phase (deg)","delta=0.025, d=0.025, wf=0.006, wm=0.05, Impedance (Ω)","delta=0.025, d=0.025, wf=0.006, wm=0.05, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.006, wm=0.05, Phase (deg)","delta=0.025, d=0.025, wf=0.008, wm=0.05, Impedance (Ω)","delta=0.025, d=0.025, wf=0.008, wm=0.05, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.008, wm=0.05, Phase (deg)","delta=0.025, d=0.025, wf=0.01, wm=0.05, Impedance (Ω)","delta=0.025, d=0.025, wf=0.01, wm=0.05, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.01, wm=0.05, Phase (deg)","delta=0.025, d=0.025, wf=0.012, wm=0.05, Impedance (Ω)","delta=0.025, d=0.025, wf=0.012, wm=0.05, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.012, wm=0.05, Phase (deg)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Impedance (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Phase (deg)","delta=0.04, d=0.04, wf=0.006, wm=0.05, Impedance (Ω)","delta=0.04, d=0.04, wf=0.006, wm=0.05, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.006, wm=0.05, Phase (deg)","delta=0.04, d=0.04, wf=0.008, wm=0.05, Impedance (Ω)","delta=0.04, d=0.04, wf=0.008, wm=0.05, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.008, wm=0.05, Phase (deg)","delta=0.04, d=0.04, wf=0.01, wm=0.05, Impedance (Ω)","delta=0.04, d=0.04, wf=0.01, wm=0.05, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.01, wm=0.05, Phase (deg)","delta=0.04, d=0.04, wf=0.012, wm=0.05, Impedance (Ω)","delta=0.04, d=0.04, wf=0.012, wm=0.05, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.012, wm=0.05, Phase (deg)"
1,46.97878300026059-0.7836341901565902i,46.98531828911619,0.9556392342380498,71.92187232570723-1.7732564166362863i,71.94372910236495,1.4123593538766432,117.09491839027032-3.90255820954917i,117.15993288408364,1.9088563684993864,175.66112135886215-6.978620480425889i,175.79968913755994,2.275035809542259,239.49715226260014-10.5099049154378i,239.72764555475578,2.5127108726052607,29.060511554358527-0.18331005270010792i,29.061089696988763,0.3614097792078892,30.190818039001897-0.1951839438697789i,30.191448965494633,0.3704126332722321,34.30450637708418-0.31865627015940845i,34.30598635215028,0.5322080455696091,43.80759164434858-0.708850946452003i,43.81332623006709,0.9270225083517177,59.08551734662615-1.4217259261931758i,59.10261977888687,1.378394961516051
5,45.681922192452475-2.891262866789475i,45.773326470359976,3.6214871632658148,68.67289571580477-7.0116970596136525i,69.02992468234042,5.829858566069914,109.54640243877657-15.660497626522556i,110.66013497727495,8.135746438255616,161.80070120655-27.795473885023966i,164.17081128941382,9.747602094314185,218.33730814699084-41.59467998240143i,222.26402662534576,10.785974574303506,28.95390448742546-0.9090258579235524i,28.96817068917763,1.798245990298696,30.065472851973027-0.9752522241324186i,30.081286121331352,1.8578869803122104,33.94412736990489-1.508715953794308i,33.97763980522426,2.5449527451000002,42.67036525718868-3.1099006828153506i,42.78354302110649,4.168459598406727,56.505478125531226-5.975513075827621i,56.82055802888841,6.03665179434725
10,43.93986710009631-4.118018451845273i,44.13241435434803,5.354087671241051,63.5789716897998-9.252013412420638i,64.24862172308427,8.279566642888062,97.57782810332719-19.86713911872357i,99.57979591325335,11.508291391058687,140.31434192706365-34.52700508211274i,144.49992605660796,13.824065465686374,186.0767784853233-51.08067046536598i,192.96062392795943,15.35035711214233,28.627168908598833-1.752725946251303i,28.680774884303776,3.5036156618823764,29.668643223354593-1.8424760441994295i,29.72579870563873,3.5536072092223137,33.103621102287434-2.5239773228531703i,33.19970167953451,4.360066719445369,40.542834778898396-4.507751197204925i,40.79266199655222,6.344368178112773,52.104861039086245-8.011874506133609i,52.71723320703128,8.741588305879047
25,40.20484145008959-5.038810733356513i,40.51936437844788,7.143545259568126,55.55508994773845-7.775628204224631i,56.09659894389002,7.967502009662494,81.03130773166777-14.24148640682688i,82.27328100774926,9.968095667253369,112.24231301096734-23.49735381657956i,114.67546584354254,11.823824312382897,145.1218194164394-34.09321385464864i,149.07276646549647,13.220654849130804,26.8712035495264-3.4956080483971164i,27.09761716144242,7.411842883788288,27.793406209821114-3.4580384960281663i,28.00770356498611,7.092258995697761,30.61533774275449-3.775509478931781i,30.84725882357185,7.030268782449611,36.40567708204617-4.900243746000342i,36.73398579752049,7.665999706308366,45.13943694229238-7.011626830324531i,45.68075829356291,8.829342433655226
50,36.209281773946714-4.443440160452155i,36.480902497671146,6.996101904479949,50.41035373799241-4.622118957049679i,50.62181098738609,5.238794637640558,73.04042194734939-7.106445026351139i,73.385317326829,5.557084079972288,100.12398804216355-11.510211144923232i,100.78342096827248,6.55791045812607,128.26249862425902-16.95323757120059i,129.37805384795217,7.529487410693702,23.79966871975921-4.148077558493242i,24.15845149428167,9.886847353097533,24.7222286735705-3.914375693886541i,25.030200312047064,8.997195016131258,27.38428591117554-3.7686826665885746i,27.64239649354687,7.835941851881501,32.65900322285597-3.9706773533253i,32.89949498327789,6.931991544661065,40.439755024417536-4.705749855347676i,40.71262541443389,6.637341239635928
75,33.99872501038408-3.236767242924543i,34.15245180827557,5.438316953804585,47.96672975459296-2.3455245921213645i,48.0240424054702,2.799475828949994,69.52732014478534-3.301448175450787i,69.60565929987776,2.718601403173478,94.86274875803792-5.917651290918002i,95.047144611143,3.5695535831596157,120.90017973021895-9.503603387187468i,121.27312948934816,4.494608455862468,21.872699347462913-3.741266919125337i,22.190359503726977,9.70635752992926,22.83550252828718-3.3898678067780565i,23.085739742681852,8.44373814261981,25.492189346361556-3.00845954567194i,25.66909711128723,6.730626978061533,30.62002881535591-2.8054193898569793i,30.74827706727991,5.234847449079556,38.05596318680546-2.978876691457117i,38.17237273760171,4.475770284320621
100,32.830760664370246-2.2255543796054553i,32.90610791475865,3.8780729993253233,46.659682334269746-0.8344942016847199i,46.66714407490145,1.0246083237694752,67.45904492541194-1.0953553631552495i,67.46793716737113,0.930249231988493,91.53464026831898-2.8956620360113448i,91.58043037503897,1.8119249918538858,116.05267110263776-5.627189321065089i,116.18901725082333,2.775997091863121,20.783897099452588-3.233853003504919i,21.033976891898295,8.843974142520795,21.790592234277938-2.8079782607674133i,21.970768121153988,7.3427811607439395,24.46399498055871-2.294854070059955i,24.571394051043836,5.3589697824633555,29.505757241811807-1.8866812590422342i,29.566015568316796,3.658672629261452,36.70985083639425-1.786459799070144i,36.753293553694064,2.7860620025335465
250,30.880638349699893-0.03918493728269823i,30.88066321088758,0.0727034945444537,43.71817087757927+1.715525513594912i,43.75181702134227,-2.247165543746352,61.436522439066266+2.1421954071556684i,61.473858595083584,-1.9970051178278623,80.93477612088918+1.358364442254242i,80.94617433638501,-0.9615303440532889,100.17721366172918-0.15888248573901365i,100.17733965659107,0.09087184506058307,18.912609056618294-1.8078305508679477i,18.998816611282184,5.4602354869590535,20.08572769578859-1.2502356298064115i,20.124600522728553,3.5617791762671565,22.784099755117495-0.5630200864907238i,22.791055115306467,1.4155534500384672,27.441266977719806+0.08176030709728366i,27.44138877845493,-0.17071029083365924,33.74577829040027+0.5095450740554952i,33.74962501432193,-0.8650730621011085
500,29.605176718756866+0.38688288849880337i,29.6077045195712,-0.7487033492716372,40.995037083228+1.800639797889744i,41.034563104010054,-2.515006648846004,55.905787350336595+2.0834615230232885i,55.94459644307906,-2.1342751700193747,71.8022380222651+1.4130627076119708i,71.81614116075616,-1.1274311462026176,87.17668962995322+0.19522496500212583i,87.17690822473664,-0.12830893096825427,18.116956312077036-1.2620423256739741i,18.16086057557572,3.984834584626042,19.345389595398046-0.7145286528721044i,19.35858077942467,2.1152778732321638,21.915379956373727-0.07682899866631487i,21.915514626110504,0.2008616479951113,26.089393256868334+0.5023260875859705i,26.094228710766608,-1.1030386449241572,31.5384289865342+0.8920233159042255i,31.551041322510695,-1.6201044519628196
750,28.697282434674435+0.46737046823545825i,28.70108803320969,-0.9330496071261913,39.095880700364205+1.6685312015397358i,39.13146923011736,-2.443782195730176,52.38315934400657+1.8495843147484266i,52.415802435877545,-2.022202746624915,66.33991454598504+1.2079749317381356i,66.35091156423026,-1.0431761629059357,79.70891808245574+0.10989460032396892i,79.70899383820385,-0.07899358003891833,17.691398031386825-1.0354870749688416i,17.72167593054859,3.3497311895746873,18.906187024326755-0.5130137118721905i,18.913145980174484,1.5543223813120455,21.340849636799476+0.07570823153400852i,21.34098392663296,-0.20326013340360374,25.182473730755646+0.5975763146943791i,25.18956293094586,-1.3593651145749936,30.111527216198965+0.9442699546107178i,30.12632929912092,-1.7961546244092086
