% Model,BioZ_model_sensitivity_leg_4.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 23 2021, 11:31"
% Table,Table 2 - Transimpedance
% freq (Hz),"delta=0.025, d=0.025, wf=0.004, wm=0.05, Impedance (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.05, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.05, Phase (deg)","delta=0.025, d=0.025, wf=0.004, wm=0.052, Impedance (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.052, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.052, Phase (deg)","delta=0.025, d=0.025, wf=0.004, wm=0.054, Impedance (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.054, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.054, Phase (deg)","delta=0.025, d=0.025, wf=0.004, wm=0.056, Impedance (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.056, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.056, Phase (deg)","delta=0.025, d=0.025, wf=0.004, wm=0.058, Impedance (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.058, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.058, Phase (deg)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Impedance (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Phase (deg)","delta=0.04, d=0.04, wf=0.004, wm=0.052, Impedance (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.052, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.052, Phase (deg)","delta=0.04, d=0.04, wf=0.004, wm=0.054, Impedance (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.054, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.054, Phase (deg)","delta=0.04, d=0.04, wf=0.004, wm=0.056, Impedance (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.056, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.056, Phase (deg)","delta=0.04, d=0.04, wf=0.004, wm=0.058, Impedance (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.058, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.058, Phase (deg)"
1,46.97878300026059-0.7836341901565902i,46.98531828911619,0.9556392342380498,46.617915474576876-0.7774403720977716i,46.624397655379546,0.9554250310164801,46.833582864841446-0.7877849731303286i,46.84020803884052,0.9636780922317854,46.72876571374945-0.7931464403809514i,46.73549642837204,0.9724113091339771,46.23064610362053-0.8048264836252201i,46.23765116035793,0.9973579640837887,29.060511554358527-0.18331005270010792i,29.061089696988763,0.3614097792078892,28.601841297233477-0.18112513824598864i,28.602414791549247,0.36282864300088385,28.202643748139963-0.17918216460384429i,28.20321294875125,0.3640170671622679,27.92943690950051-0.17827242860221304i,27.930005856436356,0.3657115996281034,27.573017657501623-0.1763044874824118i,27.573581305539598,0.3663496504452077
5,45.681922192452475-2.891262866789475i,45.773326470359976,3.6214871632658148,45.332568413577974-2.887807174352929i,45.424455849772954,3.6449709181522243,45.53022850910202-2.94929590402171i,45.62565127667248,3.706250901742846,45.41334080626257-2.985763884615153i,45.51138658797845,3.761577823123393,44.88051138049923-2.989535289700143i,44.97996913097521,3.8108988933198087,28.95390448742546-0.9090258579235524i,28.96817068917763,1.798245990298696,28.497033515479416-0.89827019139193i,28.511187427378406,1.8054530109105338,28.09936664905399-0.8884336196351796i,28.11340819563622,1.8109498816240281,27.826808385783806-0.8838958272244781i,27.84084296088236,1.8193418933675334,27.471862392267212-0.8741728593595326i,27.485767253029454,1.8225746721556866
10,43.93986710009631-4.118018451845273i,44.13241435434803,5.354087671241051,43.58236949786078-4.114203695906326i,43.776130517663105,5.392777096929429,43.72677286202088-4.19945248903241i,43.92796451162296,5.485774639707657,43.572683356003836-4.243002047180198i,43.778782546057045,5.561788360052729,43.03945633408148-4.215162402018905i,43.24537426833881,5.593547957129189,28.627168908598833-1.752725946251303i,28.680774884303776,3.5036156618823764,28.175702971755527-1.7319887895137072i,28.228886324465485,3.5176029902303476,27.783110428019427-1.7131335871526971i,27.835877060781694,3.5284461605313333,27.512846325989813-1.7038737393449992i,27.565556382506788,3.543808274763987,27.16219133476261-1.685124093433842i,27.214413117253223,3.5500417556371406
25,40.20484145008959-5.038810733356513i,40.51936437844788,7.143545259568126,39.8556790308503-5.0024384566931985i,40.16838982985456,7.154001217083133,39.930021389067406-5.056313942419365i,40.24888717487336,7.2169183099027,39.74691476681619-5.055141733377241i,40.067089879664124,7.248149514980768,39.25547785044182-4.991967272188049i,39.57160950117047,7.247184418617002,26.8712035495264-3.4956080483971164i,27.09761716144242,7.411842883788288,26.44962912061601-3.454941393225454i,26.674322871420017,7.442035844080761,26.08347947348375-3.419127569824923i,26.306621500724585,7.467981688095192,25.829458368534688-3.3991549168131314i,26.05216255439002,7.49703940078007,25.502314911136637-3.3616973634343594i,25.722928973779474,7.509394186847419
50,36.209281773946714-4.443440160452155i,36.480902497671146,6.996101904479949,35.905247554706875-4.391260994540062i,36.17277947693477,6.972724831561777,35.96504921014275-4.414345853874693i,36.234944652995,6.997478027582738,35.80677292213659-4.385519614763325i,36.074336714469574,6.982660399495918,35.3718795524328-4.317721013794653i,35.63442966885786,6.959464838934475,23.79966871975921-4.148077558493242i,24.15845149428167,9.886847353097533,23.432162908480677-4.101868081750581i,23.78847578828164,9.929186389375733,23.112333027282148-4.061815244727768i,23.466535343895572,9.967508793935274,22.890642306767404-4.038785539654782i,23.24420989949313,10.006184531085804,22.60563423759595-3.994545971188927i,22.955851036280748,10.021047155685201
75,33.99872501038408-3.236767242924543i,34.15245180827557,5.438316953804585,33.72394030851501-3.1890315822674893i,33.87438667142156,5.401988104548391,33.78044944525027-3.2039594722737093i,33.93205152983064,5.418099620899881,33.640580030911224-3.174375523114577i,33.790017531482455,5.390554062942298,33.239120821785036-3.1159652890637517i,33.38485274324081,5.355479387683115,21.872699347462913-3.741266919125337i,22.190359503726977,9.70635752992926,21.54030747615252-3.7010128734400496i,21.855945242806616,9.749253596417933,21.250298832132103-3.666348224331159i,21.564260009491893,9.788962319239703,21.0499792986011-3.646757643611636i,21.36353130413544,9.828528776038254,20.792196783211693-3.6065483677957673i,21.102668982881028,9.840432802388657
100,32.830760664370246-2.2255543796054553i,32.90610791475865,3.8780729993253233,32.57178562479203-2.184414587172796i,32.644951920259615,3.836774673259876,32.62350254415651-2.197538187945611i,32.69743250373132,3.8536556246274887,32.4920849097598-2.1719915686844615i,32.56459932438102,3.8243493391253045,32.11006922826164-2.1225785969145363i,32.180147385365316,3.7819327017845987,20.783897099452588-3.233853003504919i,21.033976891898295,8.843974142520795,20.471785605093828-3.1998479420144577i,20.720353102998534,8.883750297892743,20.198937851084338-3.17069092678139i,20.446280132707304,8.921100746096617,20.010860042526474-3.154679306826438i,20.257998942899114,8.958853218685066,19.76890446138168-3.1193337748991325i,20.013491119803735,8.966766816750257
250,30.880638349699893-0.03918493728269823i,30.88066321088758,0.0727034945444537,30.645120808944284-0.015470725040358957i,30.645124714024632,0.028924903936371503,30.663051241779613-0.031161486025666818i,30.663067075787012,0.05822711523073055,30.53263584847855-0.01976719841331942i,30.532642247239764,0.037093976729177094,30.193167704342613+0.009848210473137442i,30.193169310455094,-0.018688362923104163,18.912609056618294-1.8078305508679477i,18.998816611282184,5.4602354869590535,18.636092142671714-1.7893836821240257i,18.721800776421112,5.484561738861979,18.39351742160943-1.7736027857899899i,18.478829778446784,5.507742091445732,18.22540586673449-1.7666717059764778i,18.31083143726406,5.536643103254084,18.012190715324323-1.7445205111289397i,18.096473860367528,5.531968762863586
500,29.605176718756866+0.38688288849880337i,29.6077045195712,-0.7487033492716372,29.379014214319795+0.40538726076920284i,29.3818109556984,-0.7905474627055573,29.36653709754546+0.38856360128193046i,29.369107626445768,-0.7580653881562764,29.230001326516685+0.3958194641490991i,29.232681207791504,-0.7758261251690839,28.918333723697287+0.42082939562533284i,28.921395587615585,-0.8337287569219756,18.116956312077036-1.2620423256739741i,18.16086057557572,3.984834584626042,17.85576604371181-1.2490018526623317i,17.899396264559474,4.00129342931557,17.626722500996948-1.2376286752187298i,17.670118020683272,4.01632892448303,17.465893432579378-1.2340453248434642i,17.509434635703904,4.041492897865269,17.265197214025193-1.2170817082769645i,17.30804214010948,4.032301402800974
750,28.697282434674435+0.46737046823545825i,28.70108803320969,-0.9330496071261913,28.47683304785869+0.48413827901822515i,28.480948198907065,-0.973999038187227,28.448988945986457+0.4673181521739025i,28.452826894778152,-0.9410861657474058,28.31033149439122+0.4735642149753403i,28.3142920163656,-0.9583321386878488,28.01483384647713+0.49712032731804356i,28.019244173702354,-1.0166009839136096,17.691398031386825-1.0354870749688416i,17.72167593054859,3.3497311895746873,17.438307376789908-1.0247445256263745i,17.46839046707528,3.363061075278187,17.21655682393748-1.0152165103263542i,17.246463215242347,3.3746783895439796,17.05947705372205-1.013119783207003i,17.08953390357954,3.3986616054855854,16.865140407703848-0.9984220103433472i,16.894668019298372,3.3879752747988596
